948,4357.16,2020/2/22 16:44:0.0,43.799084,-120.650261,1.22,0.14,0.43,253
Calculated 253
Initialized
1079,4355.11,2020/2/22 16:47:11.0,43.799068,-120.650269,0.33,0.14,0.71,99
1080,4353.88,2020/2/22 16:47:13.0,43.799065,-120.650269,0.11,0.14,0.43,97
1081,4355.31,2020/2/22 16:47:14.0,43.799061,-120.650269,0.56,0.14,0.71,95
1082,4355.31,2020/2/22 16:47:16.0,43.799065,-120.650276,0.11,0.43,0.14,90
1083,4354.90,2020/2/22 16:47:17.0,43.799061,-120.650276,1.00,-0.14,0.14,134
1084,4355.73,2020/2/22 16:47:19.0,43.799068,-120.650276,1.22,-0.14,1.00,146
1085,4355.93,2020/2/22 16:47:20.0,43.799068,-120.650276,0.11,0.14,0.43,99
1086,4356.96,2020/2/22 16:47:22.0,43.799072,-120.650276,1.22,-0.14,0.14,147
1087,4356.14,2020/2/22 16:47:23.0,43.799076,-120.650276,1.22,-0.43,0.14,145
1088,4354.70,2020/2/22 16:47:25.0,43.799072,-120.650269,1.00,0.14,-0.14,140
1089,4354.49,2020/2/22 16:47:26.0,43.799076,-120.650261,1.00,0.14,-0.14,144
1090,4355.93,2020/2/22 16:47:27.0,43.799068,-120.650246,0.78,0.43,-0.14,157
1091,4356.75,2020/2/22 16:47:29.0,43.799065,-120.650246,1.22,0.14,0.71,104
1092,4356.75,2020/2/22 16:47:30.0,43.799065,-120.650246,0.78,0.14,0.43,106
1093,4355.93,2020/2/22 16:47:32.0,43.799057,-120.650246,1.22,0.14,0.14,97
1094,4354.08,2020/2/22 16:47:33.0,43.799049,-120.650253,0.33,-0.14,0.43,141
1095,4354.08,2020/2/22 16:47:35.0,43.799049,-120.650253,1.22,-0.14,0.43,143
1096,4356.14,2020/2/22 16:47:36.0,43.799046,-120.650246,1.22,0.14,0.14,96
1097,4355.11,2020/2/22 16:47:38.0,43.799046,-120.650246,1.22,-0.14,0.14,140
1098,4356.75,2020/2/22 16:47:39.0,43.799046,-120.650246,0.56,0.14,-0.14,159
1099,4355.73,2020/2/22 16:47:41.0,43.799049,-120.650261,1.00,0.14,0.71,98
1100,4353.67,2020/2/22 16:47:42.0,43.799053,-120.650261,1.22,0.14,0.14,79
1101,4354.08,2020/2/22 16:47:44.0,43.799053,-120.650261,1.22,-0.14,0.14,123
1102,4354.49,2020/2/22 16:47:45.0,43.799053,-120.650261,1.22,-0.14,0.14,130
1103,4354.49,2020/2/22 16:47:47.0,43.799061,-120.650261,1.22,0.14,-0.14,132
1104,4354.70,2020/2/22 16:47:48.0,43.799061,-120.650269,1.00,0.43,-0.14,134
